id,content,layer
Dark Mode,switch dark mode change background colors dark rather light,Feature
App WIKI,app has wiki walk users interacting all features detail,Feature
Refinement,refine performance models based what generated content is approved denied,Feature
Fine-Tuning,fine tune custom models data improve their performance,Feature
Lower-Level Artifact Generation,generate lower level higher level,Feature
Higher-Level Artifact Generation,generate higher level requirements sets lower level requirements,Feature
Summarize NL content,summarize content long form,Feature
Code Summarization,generate summaries code files or blocks,Feature
Model Selection,select models use generation tasks,Feature
Artifact Layer Coverage,generate coverage information relationships two layers,Feature
Trace Matrix Table,view sort group filter matrix showing what are related,Feature
Trace Link Approval Display,display generated trace links approval,Feature
Artifact Tree Nodes & Edges,interact trace links tree,Feature
Custom Attributes Values,store values existing custom attributes,Feature
Custom Attributes Layout,manage what custom attributes appear different types layout they appear,Feature
Project Exporting,export data file download,Feature
Custom Attributes Management,create custom attributes an track import export additional fields,Feature
Model Evaluation,evaluate how well models perform tasks,Feature
Model Sharing,Share custom models between users.,Feature
Job Status,view status progress jobs,Feature
Artifact Table,view sort group filter table,Feature
Account Editing,Edit account details.,Feature
TIM Tree,view an interactive graph how all types are related,Feature
Websocket Messages,receive updates data when another user or asynchronous job updates something,Feature
Change Commits,store commits undo redo changes version,Feature
Snackbar Messages,present snackbar messages when things are saved uploads are scheduled or errors occur,Feature
Email Updates,send email updates account creation password reset,Feature
Project Versions,create new versions upload files existing ones delete versions no longer being used,Feature
Projects,manage details projects or delete them,Feature
Project Members Display,display members,Feature
Project Rules,manage rules that generate warnings when broken,Feature
View Display,display views subsets data,Feature
Artifact Display,display content relationships an,Feature
Model Management,manage custom models creating editing deleting them,Feature
Model Pre-Training,pretrain models documentation improve performance specific domain,Feature
Trace Link Generation,generate trace links,Feature
Model Training,train model existing data improve performance tasks specific domain,Feature
Privacy Policy,View our data privacy policy.,Feature
Default Rules,Generate built-in warnings by default.,Feature
Attack Protection,Protect against common attacks.,Feature
Project Layout,generate layout or subset,Feature
Project Members Management,manage members their permissions,Feature
Artifact Type Directions,define rules restrict what types trace links are allowed types,Feature
View Management,manage creation retrieval updating deletion views,Feature
Delta View,display difference two versions what was added modified removed or related changed,Feature
Project Rules Display,display warnings when rules are violated,Feature
View Synchronization,keep projects uptodate other users asynchronous jobs make changes,Feature
Trace Link Approval,approve decline generated trace links,Feature
Project Version List,view load existing versions,Feature
Project List,View and load existing projects. ,Feature
Job Submission,submit jobs create update data bulk,Feature
TIM Preview,view preview tim tree confirming its creation,Feature
Project Trace Link Uploading,upload matrices trace links two types csv or json format,Feature
Project Artifact Uploading,upload sets same type csv or json format,Feature
Bulk Project Creation,quickly create set csv json files tim outline what files correspond what data,Feature
Standard Project Creation,create importing trace links one file timeand view tim summary being created,Feature
Password Reset,Reset and change account passwords.,Feature
Account Login,log existing accounts access app,Feature
Account Creation,Create new accounts.,Feature
GitHub Integration,import code github sync their data github needed,Feature
Jira Integration,import projects jira sync data jira needed,Feature
Trace Link Management,manage creation retrieval updating deletion trace links,Feature
Artifact Management,manage creation retrieval updating deletion,Feature
Artifact Search,search all,Feature
Artifact Tree Window,change viewport tree graph zoom pan what is view,Feature
FTA View,all fta specific document functionality such logical nodes,Feature
Safety Case View,all safetycase specific document functionality such creating safety case nodes,Feature
Artifact Subtree,track subtrees so that their children be hidden related be displayed,Feature
Artifact Type Management,manage types how they be related,Feature
Save dark mode setting,changes dark mode sessions,Functional Requirement
Toggle dark mode,toggle dark mode change app colors dark,Functional Requirement
Link to project WIKI,click link settings view user guides app,Functional Requirement
Leave a project,remove myself long am not last owner,Functional Requirement
Group artifacts by change impact,group most likely impacted change,Functional Requirement
